id,smiles,exactmass,rotatablebondcount,logp,formalcharge,acceptorcount,donorcount,polarsurfacearea,error
CHEMBL1933826,CC(C)OC1=NN(C(=C1)CCC(=O)NS(=O)(=O)C2CCCCC2)CC3=C(C=C(C=C3)Cl)Cl,501.125583,9,4.7367,0,6,1,90.29,
CHEMBL478726,CC1=C(N=C(O1)C2=CC=CC=C2)CC#CC3=CC=C(C=C3)CC(C4=CN=CC=C4)C(=O)O,422.163043,6,5.05012,0,4,1,76.22,
CHEMBL460026,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,302.22458,13,5.9927,0,1,1,37.3,
CID_446284,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,302.22458,13,5.9927,0,1,1,37.3,
CHEMBL501155,CCCC1=C(C=CC(=C1)C(=O)C2=CC=C(C=C2)C3=CC=CC=C3)OCCCN4C=CC5=C4C=CC(=C5)OC(C)(C)C(=O)O,575.267173,13,8.2029,0,5,1,77.76,
CHEMBL4160935,CN1C2=C(C=CC(=C2)OC3=CC(=CC(=C3)F)F)N=C1COC4=CC=CC(=C4)C(=O)O,410.107813,6,4.921,0,5,1,73.58,
CHEMBL1760401,CCCCN(C1=CC=CC(=C1C)C2=CC=C(C=C2)Cl)S(=O)(=O)C3=C(C(=C(C=C3)OC(C)C(=O)O)F)Cl,553.089278,10,6.95522,0,4,1,83.91,
CHEMBL4295200,C1=CC(=CC(=C1)Cl)OCCCOC2=CC(=C(C=C2)OCC(=O)O)F,354.06703,9,3.7904,0,4,1,64.99,
CHEMBL4749785,CC1=NC=CC(=C1)OC2=CC3=C(C=C2)N=C(N3C)COC4=CC=CC(=C4)C(=O)O,389.137556,6,4.34622,0,6,1,86.47,
CHEMBL1644614,CC1=CC2=C(C=C1OCC(=O)O)ON=C2CCC3=C(OC(=N3)C4=C(C=C(C=C4)Cl)Cl)C(C)C,488.090577,8,6.47002,0,6,1,98.59,
CID_44432857,CC1=C(C=CC(=C1)SCC=CC#CC2=CC=CC=C2)OCC(=O)O,338.097665,6,4.15842,0,3,1,46.53,
CHEMBL234910,Cc1cc(SC/C=C/C#Cc2ccccc2)ccc1OCC(=O)O,338.097665,6,4.15842,0,3,1,46.53,
CHEMBL199823,CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC4=C(C=C3)C(CC4)C(C)(C)C(=O)O,405.194008,7,5.41212,0,4,1,72.56,
CID_44431883,CCCCNC(=S)OC(CCC1=CC=C(C=C1)CC(C(=O)O)OCC)C2=CC=CC=C2,443.21303,13,5.0839,0,4,2,67.79,
CHEMBL234858,CCCCNC(=S)OC(CCc1ccc(C[C@H](OCC)C(=O)O)cc1)c1ccccc1,443.21303,13,5.0839,0,4,2,67.79,
CHEMBL598608,C1=CC(=CC=C1C(=O)NCCS(=O)(=O)C2=NC=C(C=C2)C(F)(F)F)Cl,392.020926,5,2.9575,0,4,1,76.13,
CHEMBL496136,C1CN(CC2=C1C(=CC=C2)C(=O)O)S(=O)(=O)C3=CC=CC(=C3)C(=O)NC4=C(C=C(C=C4)Cl)C(=O)O,514.06015,6,3.7357,0,5,3,141.08,
CHEMBL2153833,CCOC1=CC2=C(C=C1)N=C(S2)SC(C)C(=O)NS(=O)(=O)C,360.02722,6,2.2514,0,7,1,85.36,
CID_10793522,CC1=C(N(C(=N1)C2=CC=CC=C2)COC)CCOC3=CC=C(C=C3)CC(C(=O)O)NC4=CC=CC=C4C(=O)C5=CC=CC=C5,589.257671,14,6.42272,0,7,2,102.68,
CHEMBL149647,COCn1c(-c2ccccc2)nc(C)c1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,589.257671,14,6.42272,0,7,2,102.68,
CHEMBL4240338,COC1=CC=C(C=C1)COC2=CC(=C(C=C2)CNC3=CC=CC(=C3)C(=O)O)OCC4=CC=C(C=C4)OC,499.199488,12,6.1721,0,6,2,86.25,
CHEMBL2031957,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccsc2)cc1O,354.165351,7,6.5649,0,3,2,40.46,
CID_70696377,CC(=CCCC(=CCC1=C(C=C(C=C1O)C=CC2=CSC=C2)O)C)C,354.165351,7,6.5649,0,3,2,40.46,
CHEMBL298187,CCCC1=C(C=CC(=C1)OC2=CC=CC=C2)OCCCOC3=C(C=C(C=C3)C4C(=O)NC(=O)S4)Cl,511.122022,11,6.9568,0,6,1,73.86,
CHEMBL372639,CC(C)C1=CC(=CC=C1)OC2=C(N(C3=C2C=CC(=C3)Cl)C4=CC=C(C=C4)C(C)(C)C)C(=O)O,461.175771,5,8.1953,0,3,1,51.46,
CHEMBL4587533,CC1=CC(=CC(=C1OC(C)(C)C(=O)O)C)C2=NOC(=C2)C3=CC=C(C=C3)Br,429.05757,5,5.62994,0,4,1,72.56,
CHEMBL374502,C1=CC=C(C=C1)C2=C(C(=NO2)COC3=C(C=C(C=C3)CC(=O)O)Cl)C(=O)NCCOC4=C(C=C(C=C4)Cl)Cl,574.046519,11,6.3167,0,6,2,110.89,
CHEMBL1081764,CC1=C(C=CC(=C1)OCC2=NC(=C(S2)C3=CC=C(C=C3)SC(F)(F)F)C4=CC=C(C=C4)OC)OCC(=O)O,561.089149,10,7.44842,0,7,1,77.88,
CHEMBL486892,CCC#CCOC1=C(C=CC(=C1)COC2=CC=CC=C2C(F)(F)F)SC3=C4CCCCC4=C(C=C3)OCC(=O)O,570.16878,10,7.57,0,5,1,64.99,
CHEMBL473961,CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC=CC(=C3)CC4=CN(C=C4C(=O)O)C,416.173607,8,4.89902,0,5,1,77.49,
CHEMBL331557,CC(C)(CC1=CC(=C(C=C1)OC)C(=O)NCC2=CC=C(C=C2)C(F)(F)F)C(=O)O,409.150093,7,4.2973,0,3,2,75.63,
CHEMBL3892207,CCC1=C(C=CC(=C1)OCCC2=C(OC(=N2)C3=CC=C(C=C3)C(C)(C)C)C)CCC(=O)O,435.240959,9,6.14862,0,4,1,72.56,
CID_164623829,CC1=CC(=CC(=C1OC(C)(C)C(=O)O)C)COC2=CC3=C(C=C2)C(=O)C(=CC4=CC=C(C=C4)C(C)C)O3,500.219889,8,6.86404,0,5,1,82.06,
CID_90896292,CCCCCCCCOC1=CC=C(C=C1)C(=O)NC(C(C)C)C(=O)O,349.225308,12,4.2649,0,3,2,75.63,
CHEMBL4538761,CC1=CC(=C2C(=NN(C2=N1)C3=CC=C(C=C3)Br)C(C)C)C(=O)O,373.042589,3,4.31302,0,4,1,68.01,
