id,smiles,exactmass,rotatablebondcount,logp,formalcharge,acceptorcount,donorcount,polarsurfacearea,error
CHEMBL250749,COCc1ccc(CNC(=O)c2c(-c3ccccc3)c(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n2C(C)C)cc1.[Na+],638.27681,15,1.807,0,7,3,123.85,
CHEMBL321076,CC(C)c1cc(SC(C)(C)Sc2cc(-c3ccc(F)cc3)c(OC[C@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)c2)cc(-c2ccc(F)cc2)c1OC[C@H](O)C[C@@H](O)CC(=O)[O-].[Na+].[Na+],900.276535,22,0.4355,0,12,4,179.64,
CHEMBL1161651,CC(C)c1cc(-c2ccc(F)cc2)c(-c2cccc(Cl)c2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,471.161264,9,5.7953,0,4,3,82.69,
CHEMBL133434,CC(=O)[C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CCC1C2=CCC2C(C)(C)[C@@H](O)CC[C@]12C,456.396731,6,7.984,0,2,1,37.3,
CHEMBL527431,Cn1c(CC[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)c1C(=O)Nc1ccccc1,548.212279,11,5.4088,0,5,4,111.79,
CHEMBL5283544,COCOCC(C)(C)c1cc(CC(P(=O)(OC(C)C)OC(C)C)P(=O)(OC(C)C)OC(C)C)cc(C(C)(C)C)n1,607.340291,17,8.232,0,9,0,102.41,
CHEMBL400973,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)Nc1ccc(O)cc1.[Na+],596.229859,12,1.6885,0,7,4,134.85,
CHEMBL5275821,CC(C)OP(=O)(OC(C)C)C(Cc1cc(C(C)C)nc(C(C)(C)C)c1)P(=O)(OC(C)C)OC(C)C,533.303512,13,8.4573,0,7,0,83.95,
CHEMBL2220442,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,411.184587,8,4.6281,0,4,3,82.69,
CHEMBL249906,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)NCc1cccc(C(N)=O)c1.[Na+],637.256408,14,0.7595,0,7,4,157.71,
CHEMBL1161648,CC(C)(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,470.201714,8,4.8501,0,5,3,95.58,
CHEMBL1161660,CC(C)c1nc(-c2ccc(F)cc2)c(-c2cccc(Cl)c2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,472.156513,9,5.1903,0,5,3,95.58,
CHEMBL3349824,CCC(C)(C)C(=O)O[C@@H]1C2C(=C[C@H](C)[C@@H]1O)C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1,434.266839,6,3.5564,0,6,2,93.06,
CHEMBL1161654,CC(C)c1cc(-c2cccc(Cl)c2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,471.161264,9,5.7953,0,4,3,82.69,
CHEMBL1165024,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,785.35957,22,-1.949,0,11,11,315.68,
CHEMBL437774,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)Nc1ccc(C(=O)O)cc1.[Na+],624.224774,13,1.6811,0,7,4,151.92,
CHEMBL2367471,CC(C)c1nn(-c2nc3ccccc3s2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],517.14475,9,0.6806,0,8,2,111.3,
