id,smiles,exactmass,rotatablebondcount,logp,formalcharge,acceptorcount,donorcount,polarsurfacearea,error
CHEMBL5427455,CNCCCCCn1c(-c2ncc(-c3ccc4ccccc4c3)n2CC2CCCCC2)cnc1I,581.201544,10,7.1414,0,5,1,47.67,
CHEMBL5280701,CC(C)OP(=O)(OC(C)C)C(Cc1cc(C23CC4CC(CC(C4)C2)C3)nc(C23CC4CC(CC(C4)C2)C3)c1)P(=O)(OC(C)C)OC(C)C,703.413062,14,10.972,0,7,0,83.95,
CHEMBL258999,C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)CN)C(=O)NCC(=O)NCC(=O)O,534.243812,13,-3.1538,0,8,7,220.26,
CHEMBL102112,Cc1nc2ccccc2c(-c2ccccc2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+],403.139567,8,-1.15508,0,6,2,102.71,
CHEMBL5218794,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](NC(=O)CCCCCCCCCCNC(=O)OC2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]4C[C@@H](O)CC(=O)O4)[C@H]32)C(C)(C)C)cc1,959.5442,21,8.08432,0,11,5,196.49,
CHEMBL485858,CCCCCCCCC#CC#CCCCCCC(=O)O,276.20893,11,4.7789,0,1,1,37.3,
CHEMBL606813,O=C1C[C@H](O)C[C@@H](/C=C/c2c(C3CC3)nc3ccc(F)cc3c2Sc2ccc(F)cc2)O1,453.121021,5,5.6213,0,5,1,59.42,
CHEMBL115307,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C[C@@H]2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H]12,408.251189,6,3.0002,0,6,2,93.06,
CHEMBL506247,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,1700.172974,21,4.8381,0,46,25,777.98,
CHEMBL4062898,CC(C)OP(=O)(OC(C)C)C(=Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)P(=O)(OC(C)C)OC(C)C,560.303177,11,9.3718,0,7,1,91.29,
CHEMBL486985,CC1=CCC[C@@H]2[C@@](C)(CCC3=CC(=O)O[C@@H]3O)[C@H](C)CC[C@@]12C,318.219495,3,4.367,0,3,1,46.53,
CHEMBL5277572,CC(C)OP(=O)(OC(C)C)C(Cc1cc(C2CCCCC2)nc(C2CCCCC2)c1)P(=O)(OC(C)C)OC(C)C,599.350462,14,10.1318,0,7,0,83.95,
CHEMBL2393053,CC(C)=C[C@H]1C[C@H](C)[C@]2(CC[C@]3(C)C[C@@H]4C(C)=CC(=O)[C@H]4/C(C=O)=C\C[C@H]32)O1,382.250795,2,5.2132,0,3,0,43.37,
CHEMBL103139,Cc1c(OCC(O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)nc2ccccc12.[Na+],421.130145,8,-1.01598,0,6,2,102.71,
CHEMBL411443,CC(C)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,480.222014,13,-0.6583,0,7,7,208.15,
CHEMBL595988,O=C1C[C@H](O)C[C@@H](/C=C/c2c(C3CC3)nc3ccccc3c2Sc2ccc(F)cc2)O1,435.130443,5,5.4822,0,5,1,59.42,
CHEMBL323880,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C[C@@H]2C=C[C@H](C)[C@H](CC[C@H](O)C[C@H](O)CC(=O)[O-])[C@@H]12.[Na+],448.243698,10,-1.8104,0,7,3,127.12,
CHEMBL149702,CCC[C@@H]1CCC[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]1COC(=O)C(C)(C)CC,414.298139,13,4.1652,0,5,3,104.06,
CHEMBL5278854,CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)O,1242.635685,39,-4.39203,0,18,19,548.09,
CHEMBL261622,NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)NCC(=O)O,548.223077,14,-3.0599,0,8,7,237.33,
