id,smiles,exactmass,rotatablebondcount,logp,formalcharge,acceptorcount,donorcount,polarsurfacearea,error
CHEMBL3221008,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCNC3=C4CCCCC4=NC5=CC=CC=C53)C,562.367162,14,9.04664,0,4,3,66.05,
CHEMBL3221283,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=CC=CC=C53)C,605.372976,15,7.77274,0,5,4,95.15,
CHEMBL3221291,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,583.271403,11,6.86574,0,5,4,95.15,
CHEMBL3221281,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=CC=CC=C53)C,633.404276,17,8.55294,0,5,4,95.15,
CID_409441,CC(C1=CC(=CC=C1)O)N(C)C,165.115364,2,2.0148,0,2,1,23.47,
CHEMBL4105187,COc1cc(/C=C(\C(C)=O)C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)ccc1O,515.278407,12,5.5889,0,6,3,100.55,
CID_137658455,CC(=O)C(=CC1=CC(=C(C=C1)O)OC)C(=O)NCCCCCCNC2=C3CCCCC3=NC4=CC=CC=C42,515.278407,12,5.5889,0,6,3,100.55,
CHEMBL3604348,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(CC(C)c1cccc(Oc3ccccc3)c1)C2,483.240959,6,5.8165,0,5,1,51.16,
CID_58872829,CC(CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O)C5=CC(=CC=C5)OC6=CC=CC=C6,483.240959,6,5.8165,0,5,1,51.16,
CID_23645167,COC1=C2C3=C(CN(CCC34C=CC(CC4O2)O)CCCCCCCCCCN5C(=O)C6=CC=CC=C6C5=O)C=C1,558.309372,12,5.6375,0,6,1,79.31,
